Random-10-Repeat-10 string length 1000 by LCE value,DirectComp,DirectLookup,DirectCompLookup<log n>,DirectCompLookup<sqrt n>,DirectCompLookup<n/log n>,Fingerprint_2<sqrt n>wc,Fingerprint_2<1/4sqrt n>ac,Fingerprint_2<1/2sqrt n>ac,Fingerprint_2<sqrt n>ac,Fingerprint_2<2sqrt n>ac,Fingerprint_2<4sqrt n>ac,Fingerprint_2<8sqrt n>ac,Fingerprint_2<16sqrt n>ac,Fingerprint_2<sqrt n>ac_{cache-horizontal-shift},Fingerprint_2<sqrt n>ac_{cache-horizontal-mult},Fingerprint_3<n^{2/3};n^{1/3}>wc,Fingerprint_3<n^{2/3};n^{1/3}>ac<n^{1/3};n^{2/3}>,Fingerprint_3<n^{2/3};n^{1/3}>ac<1;1>,Fingerprint_3<n^{2/3};n^{1/3}>ac,Fingerprint_{log n}wc,Fingerprint_{log n}ac,Fingerprint_{log n}ac_{cache-vertical-mult},RMQ<1;n>,RMQ<n;1>,DirectComp<1>RMQ<n;1>,RMQ<1;n>_{virtual},RMQ<n;1>_{virtual},RMQ<n;2log n>_{virtual},RMQ<n;4log n>_{virtual},
36,4.01587e-008,1.52254e-008,3.58984e-008,4.81905e-008,7.28445e-008,2.03937e-008,2.71683e-008,2.64e-008,2.30476e-008,4.88191e-008,4.88889e-008,4.85397e-008,4.88889e-008,2.85651e-008,3.10794e-008,2.85651e-008,5.5454e-008,4.18349e-008,3.48508e-008,5.41968e-008,3.84825e-008,4.0927e-008,3.10794e-008,4.74222e-008,4.86794e-008,3.79238e-008,5.13333e-008,5.59429e-008,5.4127e-008,
37,4.09968e-008,1.51556e-008,3.7854e-008,5.02857e-008,7.59175e-008,2.18603e-008,2.73778e-008,2.64698e-008,2.3327e-008,5.0146e-008,4.97968e-008,5.0146e-008,5.00762e-008,2.96825e-008,2.78667e-008,3.01714e-008,5.90159e-008,3.67365e-008,3.20571e-008,5.61524e-008,3.7854e-008,4.14159e-008,3.04508e-008,4.72127e-008,4.87492e-008,3.83429e-008,5.12635e-008,5.25206e-008,5.44064e-008,
38,4.18349e-008,1.50159e-008,3.89714e-008,5.04952e-008,7.73143e-008,2.24889e-008,2.94032e-008,2.61206e-008,2.40254e-008,5.96445e-008,5.1473e-008,5.13333e-008,5.14032e-008,3.08698e-008,3.26857e-008,3.01714e-008,5.93651e-008,3.84825e-008,3.3454e-008,6.69778e-008,4.00191e-008,4.21143e-008,3.10794e-008,4.4e-008,4.54667e-008,3.83429e-008,4.77714e-008,5.2381e-008,5.53143e-008,
39,4.28127e-008,1.4946e-008,3.96698e-008,5.18222e-008,8.31111e-008,2.31175e-008,2.84254e-008,2.70286e-008,2.5073e-008,5.52445e-008,5.55238e-008,5.23111e-008,5.2381e-008,3.19175e-008,3.2546e-008,3.04508e-008,5.97841e-008,3.94603e-008,3.44317e-008,5.79683e-008,3.79238e-008,4.08571e-008,3.08e-008,4.48381e-008,4.54667e-008,3.83429e-008,4.77016e-008,5.22413e-008,5.46857e-008,
40,4.58159e-008,1.47365e-008,3.65968e-008,4.91683e-008,8.10159e-008,2.42349e-008,2.96825e-008,2.74476e-008,3.22667e-008,5.71302e-008,5.37079e-008,5.35683e-008,5.35683e-008,3.22667e-008,3.2546e-008,3.18476e-008,6.11111e-008,4.01587e-008,3.48508e-008,6.52318e-008,3.61778e-008,4.1346e-008,3.05206e-008,4.71429e-008,4.85397e-008,3.75048e-008,5.12635e-008,5.21016e-008,5.44064e-008,
41,4.35111e-008,1.55746e-008,3.8273e-008,4.97968e-008,8.0527e-008,2.47238e-008,2.97524e-008,2.82857e-008,2.62603e-008,5.37778e-008,5.37778e-008,5.37778e-008,5.39175e-008,3.29651e-008,3.26159e-008,3.26159e-008,6.13905e-008,4.00191e-008,3.54095e-008,4.86794e-008,3.52698e-008,4.08571e-008,3.06603e-008,4.64445e-008,4.71429e-008,3.82032e-008,4.96571e-008,5.19619e-008,5.36381e-008,
42,4.42794e-008,1.48064e-008,3.94603e-008,5.18222e-008,8.36e-008,2.54222e-008,2.75175e-008,2.95429e-008,2.71683e-008,5.55238e-008,5.55238e-008,5.55937e-008,5.55937e-008,3.3873e-008,3.16381e-008,3.38032e-008,5.95048e-008,4.19746e-008,3.60381e-008,5.29397e-008,3.65968e-008,4.16952e-008,3.03111e-008,4.73524e-008,4.84e-008,3.7854e-008,5.40571e-008,5.2381e-008,5.67111e-008,
43,4.51873e-008,1.50857e-008,4.0927e-008,5.33587e-008,8.4927e-008,2.62603e-008,2.92635e-008,3.06603e-008,2.80064e-008,5.68508e-008,5.99937e-008,5.69206e-008,5.69206e-008,3.45714e-008,3.27556e-008,3.31048e-008,6.07619e-008,4.29524e-008,3.89714e-008,5.25206e-008,3.61778e-008,4.14857e-008,3.07302e-008,4.44191e-008,4.5746e-008,3.84825e-008,5.11937e-008,5.28e-008,5.83175e-008,
44,4.63048e-008,1.50159e-008,3.72254e-008,4.99365e-008,8.20635e-008,2.73079e-008,2.95429e-008,3.08e-008,2.89841e-008,5.81778e-008,6.16e-008,5.81778e-008,5.80381e-008,3.58984e-008,3.3454e-008,3.62476e-008,6.06222e-008,4.34413e-008,4.01587e-008,7.50095e-008,3.72254e-008,4.16952e-008,3.07302e-008,4.69333e-008,4.84e-008,3.76444e-008,5.40571e-008,5.22413e-008,5.42667e-008,
45,4.97968e-008,1.53651e-008,3.92508e-008,5.38476e-008,8.28318e-008,2.78667e-008,3.00317e-008,2.23492e-008,2.9473e-008,5.91556e-008,5.92952e-008,5.90857e-008,5.91556e-008,3.63873e-008,3.3873e-008,3.20571e-008,5.65016e-008,4.4e-008,3.84127e-008,5.71302e-008,3.60381e-008,4.19746e-008,3.12889e-008,5.14032e-008,4.95175e-008,3.88318e-008,5.44762e-008,5.29397e-008,5.44762e-008,
