All ´a´ string length 1000 by LCE value,DirectComp,DirectLookup,DirectCompLookup<log n>,DirectCompLookup<sqrt n>,DirectCompLookup<n/log n>,Fingerprint_2<sqrt n>wc,Fingerprint_2<1/4sqrt n>ac,Fingerprint_2<1/2sqrt n>ac,Fingerprint_2<sqrt n>ac,Fingerprint_2<2sqrt n>ac,Fingerprint_2<4sqrt n>ac,Fingerprint_2<8sqrt n>ac,Fingerprint_2<16sqrt n>ac,Fingerprint_2<sqrt n>ac_{cache-horizontal-shift},Fingerprint_2<sqrt n>ac_{cache-horizontal-mult},Fingerprint_3<n^{2/3};n^{1/3}>wc,Fingerprint_3<n^{2/3};n^{1/3}>ac<n^{1/3};n^{2/3}>,Fingerprint_3<n^{2/3};n^{1/3}>ac<1;1>,Fingerprint_3<n^{2/3};n^{1/3}>ac,Fingerprint_{log n}wc,Fingerprint_{log n}ac,Fingerprint_{log n}ac_{cache-vertical-mult},RMQ<1;n>,RMQ<n;1>,DirectComp<1>RMQ<n;1>,RMQ<1;n>_{virtual},RMQ<n;1>_{virtual},RMQ<n;2log n>_{virtual},RMQ<n;4log n>_{virtual},
431,3.60842e-007,1.53651e-008,4.29454e-008,6.26616e-008,1.57304e-007,6.3353e-008,1.33327e-007,7.51492e-008,5.77657e-008,8.19168e-008,7.45416e-008,1.75553e-007,3.66534e-007,5.15778e-008,6.00914e-008,4.03473e-008,1.20392e-007,6.08667e-008,5.12565e-008,4.58648e-008,5.35752e-008,7.36197e-008,2.65194e-007,4.83092e-008,4.99994e-008,6.22628e-007,5.31702e-008,7.09448e-008,6.44076e-008,
432,3.78044e-007,1.51905e-008,4.25333e-008,5.75283e-008,1.57883e-007,6.37092e-008,1.40381e-007,7.08749e-008,5.88273e-008,8.52972e-008,7.60083e-008,1.76594e-007,3.67449e-007,5.2821e-008,6.14045e-008,3.50743e-008,1.17536e-007,6.1607e-008,5.14521e-008,6.79067e-008,5.42038e-008,7.3913e-008,2.63134e-007,4.81835e-008,4.98806e-008,5.97129e-007,5.57613e-008,7.09378e-008,6.71733e-008,
433,3.65947e-007,1.51695e-008,4.2701e-008,5.73467e-008,1.50473e-007,6.79416e-008,1.37154e-007,7.13429e-008,6.01473e-008,8.34533e-008,7.70559e-008,1.75693e-007,3.6835e-007,5.37638e-008,6.10622e-008,3.64502e-008,1.16453e-007,5.54191e-008,5.00413e-008,7.52191e-008,5.39524e-008,7.37803e-008,2.61884e-007,4.82184e-008,5.09283e-008,6.01557e-007,5.30794e-008,6.94921e-008,6.75365e-008,
434,3.66513e-007,1.50787e-008,4.26311e-008,5.74584e-008,1.56458e-007,4.27149e-008,1.35862e-007,7.1727e-008,4.89657e-008,8.46895e-008,7.82991e-008,1.73639e-007,3.64711e-007,5.38337e-008,3.84756e-008,3.76864e-008,1.15916e-007,5.72419e-008,4.87911e-008,8.64914e-008,5.47765e-008,7.35778e-008,2.63281e-007,4.81975e-008,5.00343e-008,6.26595e-007,5.30235e-008,6.77949e-008,6.36324e-008,
435,3.63733e-007,1.60425e-008,4.25543e-008,5.7626e-008,1.56549e-007,4.28337e-008,1.38921e-007,6.68032e-008,4.81835e-008,8.62121e-008,7.95422e-008,1.73549e-007,3.74077e-007,5.47346e-008,3.98724e-008,3.83778e-008,1.16977e-007,5.57333e-008,5.0181e-008,6.16698e-008,5.38476e-008,8.07225e-008,2.60243e-007,4.82114e-008,5.00762e-008,5.89586e-007,5.72629e-008,7.42622e-008,6.63562e-008,
436,3.83575e-007,1.66362e-008,4.25613e-008,5.73886e-008,1.56032e-007,4.38813e-008,1.53476e-007,6.90311e-008,4.33924e-008,8.83981e-008,8.07854e-008,1.7197e-007,3.70487e-007,5.56984e-008,4.06057e-008,3.98724e-008,1.17738e-007,5.94279e-008,5.27302e-008,6.09924e-008,5.4553e-008,7.84527e-008,2.60215e-007,4.81975e-008,5.08235e-008,6.02276e-007,5.30445e-008,7.54286e-008,6.49314e-008,
437,3.83429e-007,1.65454e-008,4.47752e-008,5.93721e-008,1.57862e-007,4.74013e-008,1.40793e-007,6.9953e-008,4.28197e-008,8.98718e-008,8.22521e-008,1.80491e-007,3.67128e-007,5.5894e-008,4.05987e-008,4.41606e-008,1.21992e-007,6.01124e-008,5.22133e-008,6.49175e-008,5.41619e-008,8.11486e-008,2.60075e-007,4.82324e-008,4.98806e-008,5.96382e-007,5.32051e-008,7.02394e-008,6.35765e-008,
438,3.8537e-007,1.71949e-008,4.25543e-008,6.04267e-008,1.56074e-007,4.4426e-008,1.40828e-007,7.1273e-008,4.34064e-008,8.96622e-008,8.35162e-008,1.81636e-007,3.74768e-007,5.74095e-008,4.18559e-008,4.03124e-008,1.13723e-007,6.116e-008,5.29118e-008,5.82406e-008,5.48603e-008,7.89206e-008,2.60138e-007,4.82045e-008,5.00902e-008,6.07654e-007,5.30375e-008,7.26349e-008,6.63702e-008,
439,3.70438e-007,1.69435e-008,4.27638e-008,5.96025e-008,1.51297e-007,4.72406e-008,1.45982e-007,7.34241e-008,4.50476e-008,9.12476e-008,8.45778e-008,1.82446e-007,3.68566e-007,5.79264e-008,4.21841e-008,4.14997e-008,1.14665e-007,6.25219e-008,5.44762e-008,4.71498e-008,5.412e-008,7.79219e-008,2.61402e-007,4.82114e-008,4.98737e-008,5.94552e-007,5.30375e-008,6.6433e-008,6.49594e-008,
440,3.68804e-007,1.53022e-008,4.26451e-008,5.7193e-008,1.57939e-007,4.63187e-008,1.32335e-007,6.92057e-008,4.3993e-008,9.24489e-008,8.57581e-008,1.80177e-007,3.784e-007,5.88203e-008,4.30641e-008,4.24146e-008,1.16195e-007,6.27384e-008,5.40921e-008,7.49886e-008,5.48883e-008,7.91162e-008,2.47266e-007,4.82533e-008,5.0153e-008,5.89384e-007,5.31003e-008,7.12241e-008,6.3793e-008,
